x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.1,1996-02-01 00:00:00,NL,1996,2,1,,M,,Y,,M,0,,,,,,,M,,,,,,M,,M,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.2,1996-02-02 00:00:00,NL,1996,2,2,-5.2,,-5.8,,-4.5,,0.2,,,,,,,M,,,,,0,,23.2,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.3,1996-02-03 00:00:00,NL,1996,2,3,-7,,-8.6,,-5.4,,6.3,,,,,,7,,,,,,0,,25,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.4,1996-02-04 00:00:00,NL,1996,2,4,-7.2,,-8.1,,-6.2,,0,T,,,,,12,,,,,,0,,25.2,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.5,1996-02-05 00:00:00,NL,1996,2,5,-9.5,,-11.1,,-7.9,,0.5,,,,,,12,,,,,,0,,27.5,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.6,1996-02-06 00:00:00,NL,1996,2,6,-10,,-14.5,,-5.4,,4.2,,,,,,15,,,,,,0,,28,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.7,1996-02-07 00:00:00,NL,1996,2,7,-9.6,,-11.9,,-7.3,,0.8,,,,,,37,,,,,,0,,27.6,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.8,1996-02-08 00:00:00,NL,1996,2,8,-6.5,,-16.2,,3.2,,0.4,,,,,,36,,,,,,0,,24.5,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.9,1996-02-09 00:00:00,NL,1996,2,9,1.1,,-3.2,,5.3,,0.2,,,,,,28,,,,,,0,,16.9,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.10,1996-02-10 00:00:00,NL,1996,2,10,2.8,,0.8,,4.7,,12.4,,,,,,18,,,,,,0,,15.2,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.11,1996-02-11 00:00:00,NL,1996,2,11,1.7,,-3.1,,6.4,,3.1,,,,,,13,,,,,,0,,16.3,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.12,1996-02-12 00:00:00,NL,1996,2,12,3.1,,-3.2,,9.3,,3.6,,,,,,12,,,,,,0,,14.9,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.13,1996-02-13 00:00:00,NL,1996,2,13,0.3,,-0.5,,1.1,,13.6,,,,,,2,,,,,,0,,17.7,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.14,1996-02-14 00:00:00,NL,1996,2,14,-3.1,,-5.6,,-0.5,,0.8,,,,,,10,,,,,,0,,21.1,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.15,1996-02-15 00:00:00,NL,1996,2,15,-1.6,,-8.7,,5.5,,25.2,,,,,,9,,,,,,0,,19.6,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.16,1996-02-16 00:00:00,NL,1996,2,16,3.4,,0.4,,6.3,,1.8,,,,,,2,,,,,,0,,14.6,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.17,1996-02-17 00:00:00,NL,1996,2,17,4.8,,-0.4,,10,,10.1,,,,,,0,,,,,,0,,13.2,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.18,1996-02-18 00:00:00,NL,1996,2,18,6.8,,5.1,,8.5,,0,,,,,,0,,,,,,0,,11.2,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.19,1996-02-19 00:00:00,NL,1996,2,19,1.4,,0.5,,2.2,,4.8,,,,,,0,,,,,,0,,16.6,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.20,1996-02-20 00:00:00,NL,1996,2,20,-6.7,,-10,,-3.4,,0,,,,,,0,,,,,,0,,24.7,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.21,1996-02-21 00:00:00,NL,1996,2,21,-3.2,,-8.4,,2.1,,0,,,,,,0,,,,,,0,,21.2,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.22,1996-02-22 00:00:00,NL,1996,2,22,1.6,,-7.2,,10.3,,0.5,,,,,,0,,,,,,0,,16.4,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.23,1996-02-23 00:00:00,NL,1996,2,23,3.9,,-2.6,,10.3,,0.6,,,,,,0,,,,,,0,,14.1,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.24,1996-02-24 00:00:00,NL,1996,2,24,9.7,,4.1,,15.3,,0,,,,,,0,,,,,,0,,8.3,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.25,1996-02-25 00:00:00,NL,1996,2,25,6.3,,4.7,,7.9,,13.9,,,,,,0,,,,,,0,,11.7,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.26,1996-02-26 00:00:00,NL,1996,2,26,6.2,,3.1,,9.2,,11.5,,,,,,0,,,,,,0,,11.8,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.27,1996-02-27 00:00:00,NL,1996,2,27,0.9,,-1.5,,3.2,,1.6,,,,,,0,,,,,,0,,17.1,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.28,1996-02-28 00:00:00,NL,1996,2,28,3.2,,0.7,,5.7,,2.5,,,,,,0,,,,,,0,,14.8,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.2.29,1996-02-29 00:00:00,NL,1996,2,29,1,,-2,,4,,0.8,,,,,,1,,,,,,0,,17,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.3.1,1996-03-01 00:00:00,NL,1996,3,1,-5.4,,-7.4,,-3.3,,0,,,,,,0,,,,,,0,,23.4,,,,,
-52.78472222222222,47.51555555555556,ST JOHN'S WEST CDA CS,8403605,8403605.1996.3.2,1996-03-02 00:00:00,NL,1996,3,2,-4.4,,-8.5,,-0.2,,11.9,,,,,,0,,,,,,0,,22.4,,,,,
