x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-52.7,47.56666666666667,ST JOHN'S,8403500,8403500.1933.2.6,1933-02-06 00:00:00,NL,1933,2,6,-0.6,,-1.1,,0,,3.8,,0,,3.8,,,,,,,,0,,18.6,,,,,
-52.7,47.56666666666667,ST JOHN'S,8403500,8403500.1933.2.7,1933-02-07 00:00:00,NL,1933,2,7,1.7,,0,,3.3,,4.1,,0,,4.1,,,,,,,,0,,16.3,,,,,
-52.7,47.56666666666667,ST JOHN'S,8403500,8403500.1933.2.8,1933-02-08 00:00:00,NL,1933,2,8,3.6,,-0.6,,7.8,,0,,0,,0,,,,,,,,0,,14.4,,,,,
-52.7,47.56666666666667,ST JOHN'S,8403500,8403500.1933.2.9,1933-02-09 00:00:00,NL,1933,2,9,4.2,,-0.6,,8.9,,10.4,,10.4,,0,,,,,,,,0,,13.8,,,,,
-52.7,47.56666666666667,ST JOHN'S,8403500,8403500.1933.2.10,1933-02-10 00:00:00,NL,1933,2,10,-7.5,,-8.3,,-6.7,,1.3,,0,,1.3,,,,,,,,0,,25.5,,,,,
-52.7,47.56666666666667,ST JOHN'S,8403500,8403500.1933.2.11,1933-02-11 00:00:00,NL,1933,2,11,-5,,-11.7,,1.7,,0,,0,,0,,,,,,,,0,,23,,,,,
-52.7,47.56666666666667,ST JOHN'S,8403500,8403500.1933.2.12,1933-02-12 00:00:00,NL,1933,2,12,-1.1,,-5,,2.8,,9.1,,9.1,,0,,,,,,,,0,,19.1,,,,,
-52.7,47.56666666666667,ST JOHN'S,8403500,8403500.1933.2.13,1933-02-13 00:00:00,NL,1933,2,13,-6.7,,-9.4,,-3.9,,0,,0,,0,,,,,,,,0,,24.7,,,,,
-52.7,47.56666666666667,ST JOHN'S,8403500,8403500.1933.2.14,1933-02-14 00:00:00,NL,1933,2,14,-3.3,,-7.2,,0.6,,0,,0,,0,,,,,,,,0,,21.3,,,,,
-52.7,47.56666666666667,ST JOHN'S,8403500,8403500.1933.2.15,1933-02-15 00:00:00,NL,1933,2,15,-1.4,,-3.9,,1.1,,3,,0,,3,,,,,,,,0,,19.4,,,,,
-52.7,47.56666666666667,ST JOHN'S,8403500,8403500.1933.2.16,1933-02-16 00:00:00,NL,1933,2,16,-3.4,,-6.7,,0,,5.3,,5.3,,0,,,,,,,,0,,21.4,,,,,
-52.7,47.56666666666667,ST JOHN'S,8403500,8403500.1933.2.17,1933-02-17 00:00:00,NL,1933,2,17,-5,,-9.4,,-0.6,,0,,0,,0,,,,,,,,0,,23,,,,,
-52.7,47.56666666666667,ST JOHN'S,8403500,8403500.1933.2.18,1933-02-18 00:00:00,NL,1933,2,18,-0.9,,-3.9,,2.2,,4.3,,4.1,,0.3,,,,,,,,0,,18.9,,,,,
-52.7,47.56666666666667,ST JOHN'S,8403500,8403500.1933.2.19,1933-02-19 00:00:00,NL,1933,2,19,-0.9,,-2.8,,1.1,,7.9,,7.9,,0,,,,,,,,0,,18.9,,,,,
-52.7,47.56666666666667,ST JOHN'S,8403500,8403500.1933.2.20,1933-02-20 00:00:00,NL,1933,2,20,-3.4,,-6.1,,-0.6,,0,,0,,0,,,,,,,,0,,21.4,,,,,
-52.7,47.56666666666667,ST JOHN'S,8403500,8403500.1933.2.21,1933-02-21 00:00:00,NL,1933,2,21,-4.2,,-8.9,,0.6,,0,,0,,0,,,,,,,,0,,22.2,,,,,
-52.7,47.56666666666667,ST JOHN'S,8403500,8403500.1933.2.22,1933-02-22 00:00:00,NL,1933,2,22,-2.2,,-4.4,,0,,7.6,,7.6,,0,,,,,,,,0,,20.2,,,,,
-52.7,47.56666666666667,ST JOHN'S,8403500,8403500.1933.2.23,1933-02-23 00:00:00,NL,1933,2,23,-7.3,,-7.8,,-6.7,,0,,0,,0,,,,,,,,0,,25.3,,,,,
-52.7,47.56666666666667,ST JOHN'S,8403500,8403500.1933.2.24,1933-02-24 00:00:00,NL,1933,2,24,-3.1,,-6.1,,0,,0,,0,,0,,,,,,,,0,,21.1,,,,,
-52.7,47.56666666666667,ST JOHN'S,8403500,8403500.1933.2.25,1933-02-25 00:00:00,NL,1933,2,25,-0.3,,-1.1,,0.6,,0.5,,0.5,,0,,,,,,,,0,,18.3,,,,,
-52.7,47.56666666666667,ST JOHN'S,8403500,8403500.1933.2.26,1933-02-26 00:00:00,NL,1933,2,26,0.3,,-0.6,,1.1,,3.6,,3.6,,0,,,,,,,,0,,17.7,,,,,
-52.7,47.56666666666667,ST JOHN'S,8403500,8403500.1933.2.27,1933-02-27 00:00:00,NL,1933,2,27,0.3,,-2.2,,2.8,,14.5,,14.5,,0,,,,,,,,0,,17.7,,,,,
