x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-52.78333888888889,47.513355555555556,ST JOHNS WEST CLIMATE,8403603,8403603.2010.8.24,2010-08-24 00:00:00,NL,2010,8,24,,M,,M,,M,,M,,M,,M,,,0,,0,,,M,,M,,,,
-52.78333888888889,47.513355555555556,ST JOHNS WEST CLIMATE,8403603,8403603.2010.8.25,2010-08-25 00:00:00,NL,2010,8,25,17.4,,11.3,,23.4,,0,,,M,,M,,,0,,0,,0,,0.6,,49,,96,
-52.78333888888889,47.513355555555556,ST JOHNS WEST CLIMATE,8403603,8403603.2010.8.26,2010-08-26 00:00:00,NL,2010,8,26,17.9,,13.8,,21.9,,0,,,M,,M,,,14,,32,,0,,0.1,,64,,98,
-52.78333888888889,47.513355555555556,ST JOHNS WEST CLIMATE,8403603,8403603.2010.8.27,2010-08-27 00:00:00,NL,2010,8,27,16.1,,14,,18.1,,0,,,M,,M,,,18,,46,,0,,1.9,,84,,97,
-52.78333888888889,47.513355555555556,ST JOHNS WEST CLIMATE,8403603,8403603.2010.8.28,2010-08-28 00:00:00,NL,2010,8,28,16.9,,11.7,,22.1,,0,,,M,,M,,,0,,0,,0,,1.1,,56,,94,
-52.78333888888889,47.513355555555556,ST JOHNS WEST CLIMATE,8403603,8403603.2010.8.29,2010-08-29 00:00:00,NL,2010,8,29,16.1,,10.3,,21.8,,0,,,M,,M,,,0,,0,,0,,1.9,,60,,97,
-52.78333888888889,47.513355555555556,ST JOHNS WEST CLIMATE,8403603,8403603.2010.8.30,2010-08-30 00:00:00,NL,2010,8,30,15.8,,8.8,,22.8,,0,,,M,,M,,,0,,0,,0,,2.2,,48,,97,
-52.78333888888889,47.513355555555556,ST JOHNS WEST CLIMATE,8403603,8403603.2010.8.31,2010-08-31 00:00:00,NL,2010,8,31,14.7,,10,,19.4,,0,,,M,,M,,,26,,41,,0,,3.3,,52,,93,
-52.78333888888889,47.513355555555556,ST JOHNS WEST CLIMATE,8403603,8403603.2010.9.1,2010-09-01 00:00:00,NL,2010,9,1,15.9,,12.1,,19.7,,0,,,M,,M,,,32,,35,,0,,2.1,,39,,95,
-52.78333888888889,47.513355555555556,ST JOHNS WEST CLIMATE,8403603,8403603.2010.9.2,2010-09-02 00:00:00,NL,2010,9,2,19.5,,16.3,,22.6,,6.4,,,M,,M,,,0,,0,,1.5,,0,,70,,96,
