n_neighbors,weights,metric,p,train_accuracy,test_accuracy,test_error,test_f1,test_precision,test_recall,cv_mean,cv_std,overfit_gap
1,uniform,euclidean,,1.0,0.775,0.22499999999999998,0.782608695652174,0.7570093457943925,0.81,0.7320716685330346,0.03296731218588373,0.22499999999999998
1,uniform,manhattan,,1.0,0.755,0.245,0.7699530516431925,0.7256637168141593,0.82,0.72996640537514,0.04075123851548614,0.245
1,uniform,minkowski,1.0,1.0,0.755,0.245,0.7699530516431925,0.7256637168141593,0.82,0.72996640537514,0.04075123851548614,0.245
1,uniform,minkowski,1.5,1.0,0.785,0.21499999999999997,0.7922705314009661,0.7663551401869159,0.82,0.7341769316909295,0.03669148269294814,0.21499999999999997
1,uniform,minkowski,2.0,1.0,0.775,0.22499999999999998,0.782608695652174,0.7570093457943925,0.81,0.7320716685330346,0.03296731218588373,0.22499999999999998
1,uniform,minkowski,2.5,1.0,0.775,0.22499999999999998,0.782608695652174,0.7570093457943925,0.81,0.7341769316909295,0.03353592482707859,0.22499999999999998
1,uniform,minkowski,3.0,1.0,0.775,0.22499999999999998,0.782608695652174,0.7570093457943925,0.81,0.7320492721164613,0.03381327872994043,0.22499999999999998
1,distance,euclidean,,1.0,0.775,0.22499999999999998,0.782608695652174,0.7570093457943925,0.81,0.7320716685330346,0.03296731218588373,0.22499999999999998
1,distance,manhattan,,1.0,0.755,0.245,0.7699530516431925,0.7256637168141593,0.82,0.72996640537514,0.04075123851548614,0.245
1,distance,minkowski,1.0,1.0,0.755,0.245,0.7699530516431925,0.7256637168141593,0.82,0.72996640537514,0.04075123851548614,0.245
1,distance,minkowski,1.5,1.0,0.785,0.21499999999999997,0.7922705314009661,0.7663551401869159,0.82,0.7341769316909295,0.03669148269294814,0.21499999999999997
1,distance,minkowski,2.0,1.0,0.775,0.22499999999999998,0.782608695652174,0.7570093457943925,0.81,0.7320716685330346,0.03296731218588373,0.22499999999999998
1,distance,minkowski,2.5,1.0,0.775,0.22499999999999998,0.782608695652174,0.7570093457943925,0.81,0.7341769316909295,0.03353592482707859,0.22499999999999998
1,distance,minkowski,3.0,1.0,0.775,0.22499999999999998,0.782608695652174,0.7570093457943925,0.81,0.7320492721164613,0.03381327872994043,0.22499999999999998
3,uniform,euclidean,,0.8544303797468354,0.79,0.20999999999999996,0.7941176470588235,0.7788461538461539,0.81,0.8058454647256438,0.03206697620306059,0.06443037974683541
3,uniform,manhattan,,0.8628691983122363,0.8,0.19999999999999996,0.801980198019802,0.7941176470588235,0.81,0.7910862262038074,0.03642580071496645,0.06286919831223625
3,uniform,minkowski,1.0,0.8628691983122363,0.8,0.19999999999999996,0.801980198019802,0.7941176470588235,0.81,0.7910862262038074,0.03642580071496645,0.06286919831223625
3,uniform,minkowski,1.5,0.8565400843881856,0.795,0.20499999999999996,0.7980295566502463,0.7864077669902912,0.81,0.7974244120940649,0.036355945118295804,0.06154008438818559
3,uniform,minkowski,2.0,0.8544303797468354,0.79,0.20999999999999996,0.7941176470588235,0.7788461538461539,0.81,0.8058454647256438,0.03206697620306059,0.06443037974683541
3,uniform,minkowski,2.5,0.8586497890295358,0.79,0.20999999999999996,0.7941176470588235,0.7788461538461539,0.81,0.8143113101903696,0.03185794018427658,0.06864978902953578
3,uniform,minkowski,3.0,0.8565400843881856,0.785,0.21499999999999997,0.7881773399014779,0.7766990291262136,0.8,0.8143113101903696,0.028942063406491726,0.0715400843881856
