"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Gross domestic product (GDP) at basic prices, by industry, provinces and territories","36100711",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610071101",1;2;3;5,"CURRENT - a cube available to the public and that is current","Annual","1997-01-01","2024-01-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Prices",,""
"3","North American Industry Classification System (NAICS)",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Newfoundland and Labrador","[10]","1","","",,
"1","Prince Edward Island","[11]","2","","",,
"1","Nova Scotia","[12]","3","","",,
"1","New Brunswick","[13]","4","","",,
"1","Quebec","[24]","5","","",,
"1","Ontario","[35]","6","","",,
"1","Manitoba","[46]","7","","",,
"1","Saskatchewan","[47]","8","","",,
"1","Alberta","[48]","9","","",,
"1","British Columbia","[59]","10","","",,
"1","Yukon","[60]","11","","",,
"1","Northwest Territories","[61]","12","","",,
"1","Nunavut","[62]","13","","",,
"2","Current dollars","","1","","",,
"2","Chained (2017) dollars","","2","","",,
"2","Contributions to percent change","","3","","",4,
"3","Real estate and rental and leasing","[53]","181","1","",,
"3","Rental and leasing services (except automotive equipment) and lessors of non-financial intangible assets (except copyrighted works)","[53A]","190","1","",6,
"3","Professional, scientific and technical services","[54]","191","1","",,
"3","Mining, quarrying, and oil and gas extraction","[21]","28","1","",,
"3","Goods-producing industries","[T002]","2","1","",6,
"3","Services-producing industries","[T003]","3","1","",6,
"3","Industrial production","[T010]","4","1","",6,
"3","Non-durable manufacturing industries","[T011]","5","1","",6,
"3","Durable manufacturing industries","[T012]","6","1","",6,
"3","Information and communication technology sector","[T013]","7","1","",6,
"3","Energy sector","[T016]","10","1","",6,
"3","Public sector","[T018]","11","1","",6,
"3","Agriculture, forestry, fishing and hunting","[11]","12","1","",,
"3","Utilities","[22]","48","1","",,
"3","Construction","[23]","52","1","",,
"3","Manufacturing","[31-33]","57","1","",,
"3","Management of companies and enterprises","[55]","203","1","",,
"3","Administrative and support, waste management and remediation services","[56]","204","1","",,
"3","Educational services","[61]","215","1","",,
"3","Health care and social assistance","[62]","220","1","",,
"3","Arts, entertainment and recreation","[71]","226","1","",,
"3","Accommodation and food services","[72]","231","1","",,
"3","Other services (except public administration)","[81]","234","1","",,
"3","Public administration","[91]","241","1","",,
"3","Wholesale trade","[41]","117","1","",,
"3","Retail trade","[44-45]","127","1","",,
"3","Retail trade (except cannabis)","[4AA]","140","1","",6,
"3","Transportation and warehousing","[48-49]","141","1","",,
"3","Information and cultural industries","[51]","158","1","",,
"3","Pay and specialty television, telecommunications and other information services","[51A]","171","1","",6,
"3","Finance and insurance","[52]","172","1","",,
"3","Information and communication technology, manufacturing","[T014]","8","7","",6,
"3","Information and communication technology, services","[T015]","9","7","",6,
"3","Forestry and logging","[113]","23","12","",,
"3","Fishing, hunting and trapping","[114]","24","12","",,
"3","Support activities for agriculture and forestry","[115]","25","12","",,
"3","Crop and animal production","[11A]","13","12","",6,
"3","Animal production and aquaculture","[112]","20","13","",,
"3","Crop production","[111]","14","13","",,
"3","Cannabis production (licensed)","[111CL]","18","14","",6;7,
"3","Cannabis production (unlicensed)","[111CU]","19","14","",6;8,
"3","Crop production (except cannabis)","[111X]","15","14","",6,
"3","Greenhouse, nursery and floriculture production (except cannabis)","[1114A]","17","15","",6,
"3","Crop production (except cannabis, greenhouse, nursery and floriculture production)","[111A]","16","15","",6,
"3","Animal production (except aquaculture)","[112A]","21","20","",6,
"3","Aquaculture","[1125]","22","20","",,
"3","Support activities for crop and animal production","[115A]","26","25","",6,
"3","Support activities for forestry","[1153]","27","25","",,
"3","Oil and gas extraction","[211]","29","28","",,
"3","Mining and quarrying (except oil and gas)","[212]","32","28","",,
"3","Support activities for mining, and oil and gas extraction","[213]","45","28","",,
"3","Oil and gas extraction (except oil sands)","[21111]","30","29","",,
"3","Oil sands extraction","[21114]","31","29","",,
"3","Coal mining","[2121]","33","32","",,
"3","Metal ore mining","[2122]","34","32","",,
