Original Title,Company,Rate,Gross Worldwide
Guardians of the Galaxy Vol. 2,Marvel,7.6,863756051
Spider-Man: Homecoming,Marvel,7.4,880166924
Thor:Ragnarok,Marvel,7.9,853977126
Black Panther,Marvel,7.3,1346913161
Avengers: Infinity War,Marvel,8.5,2048359754
Ant-Man and the Wasp,Marvel,7.1,622674139
Captain Marve,Marvel,6.9,1128274794
Avengers: Endgame,Marvel,8.5,2797800564
Spider-Man: Far from Home,Marvel,7.6,1131927996
Wonder Woman,DC,7.4,821847012
Justice League,DC,6.4,657924295
Aquaman,DC,7.0,1148161807
Shazam!,DC,7.1,364571656
Joker,DC,8.7,1060504580
