"Geography","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024"
,"Persons",,,,
"Canada","40,513,781","40,784,356","41,038,370","41,288,599","41,465,298"
"Newfoundland and Labrador","541,000","541,820","543,141","545,247","545,880"
"Prince Edward Island","175,871","176,318","177,318","178,550","179,301"
"Nova Scotia","1,064,297","1,068,120","1,071,498","1,076,374","1,079,676"
"New Brunswick","840,578","844,433","849,168","854,355","857,381"
"Quebec","8,918,906","8,956,326","9,003,338","9,056,044","9,100,249"
"Ontario","15,818,465","15,944,379","16,033,583","16,124,116","16,171,802"
"Manitoba","1,465,035","1,475,046","1,485,955","1,494,301","1,499,981"
"Saskatchewan","1,219,702","1,226,848","1,233,068","1,239,865","1,246,691"
"Alberta","4,744,897","4,791,876","4,842,523","4,888,723","4,931,601"
"British Columbia","5,593,961","5,627,961","5,666,888","5,698,430","5,719,594"
"Yukon","45,676","45,936","46,353","46,704","46,948"
"Northwest Territories 5","44,495","44,499","44,686","44,731","44,936"
"Nunavut 5","40,898","40,794","40,851","41,159","41,258"
